L,W,J2,r_mean,r_sem,ipr_mean,ipr_sem
8,3.0,0.0,0.4248813151405135,0.0106161931662717,0.1345644635157342,0.0068023537567864
8,3.5,0.0,0.4411272814208166,0.0117623567194703,0.1733053553827725,0.0087768499346762
8,4.0,0.0,0.4428971266029275,0.0121359864068962,0.2069675212776792,0.0110038686843409
8,4.5,0.0,0.4132321368247698,0.0123102043770836,0.2442646649577735,0.0122532710818883
8,5.0,0.0,0.4249774637686809,0.0126555638294042,0.276869239730429,0.013306868650442
8,5.5,0.0,0.4240335568899193,0.0118967273398407,0.3101551704632931,0.0138825352512749
8,6.0,0.0,0.4209071258835271,0.0122961885260657,0.3383388771002411,0.014258108466859
8,6.5,0.0,0.3955554079436982,0.0146469787895516,0.3615559412446594,0.0154003158347006
8,7.0,0.0,0.3877192478281208,0.0123472980217545,0.3920506638443995,0.0162687571183986
8,7.5,0.0,0.4178954510915746,0.0124144691258811,0.4152899451409748,0.017156918610924
8,8.0,0.0,0.3902284938511694,0.0141555015149476,0.4363845536864221,0.0178022280095944
10,0.5,0.0,0.5016934581953688,0.0064596402978638,0.0129330700517708,6.176264878616677e-05
10,1.0,0.0,0.523705629922016,0.0065397247421176,0.0143743960628422,0.0001833145391347
10,1.5,0.0,0.514890735240008,0.0073944355110286,0.0189679035885253,0.0006939145990967
10,2.0,0.0,0.492442113976935,0.0068415569722443,0.0291220795188913,0.0016860842528084
10,2.5,0.0,0.4629256520067982,0.0072183476540925,0.0467860135142488,0.003315093784112
10,3.0,0.0,0.4602103283167808,0.0065042372975604,0.0693687364804423,0.0048692332071673
10,3.5,0.0,0.436654518184406,0.0061831270168426,0.0950355605984657,0.0063873094865798
10,4.0,0.0,0.4182056450849051,0.0055577736207753,0.1241705255211223,0.0081338185084243
10,4.5,0.0,0.4103247332761552,0.0057207502107924,0.155546518073994,0.0100070340184139
10,5.0,0.0,0.4158613676849158,0.0073186638038587,0.1844487053877211,0.01120647241577
10,5.5,0.0,0.3987614798532153,0.0069042474329018,0.2117368003542074,0.0125445420422083
10,6.0,0.0,0.3956554320559688,0.0070813908120451,0.2420093016155247,0.0138076625979909
10,6.5,0.0,0.403723090213391,0.0066173019855702,0.2677642094658655,0.0145617336700799
10,7.0,0.0,0.3951651190104044,0.0060902694937271,0.2950537132187887,0.015539097088332
10,7.5,0.0,0.4029554354058997,0.0066462044857534,0.3215039168564822,0.0163762018151269
10,8.0,0.0,0.4112387634471007,0.0064584671097169,0.3434181155400473,0.0171199764113435
12,0.5,0.0,0.5278196624837065,0.0032673971089533,0.0036110654298368,1.2190713780871038e-05
12,1.0,0.0,0.5309964227282106,0.0030876125208855,0.0038831280053724,2.7314913556894287e-05
12,1.5,0.0,0.5262459354950473,0.0031993615913938,0.0053041430913176,0.0001744406666555
12,2.0,0.0,0.5115405747589247,0.0036273912639684,0.0097584422126375,0.0006464460037061
12,2.5,0.0,0.480714954839694,0.0042148336708116,0.0193872101765625,0.0015659457404815
12,3.0,0.0,0.4515467709125632,0.0050201560842296,0.0353736096986748,0.0029054263794356
12,3.5,0.0,0.4347930397638375,0.0048467934288591,0.0557122349814093,0.0044908201353756
12,4.0,0.0,0.4203202406761107,0.0040597480701978,0.0793961428789962,0.0061755985461592
12,4.5,0.0,0.4155918546640297,0.0037966511450687,0.1052624575045932,0.0079432761785677
12,5.0,0.0,0.4005660004813486,0.003352340944788,0.130499104961818,0.0094893593094755
12,5.5,0.0,0.4009865516386146,0.0038115518097804,0.1565091352081488,0.010687781969637
12,6.0,0.0,0.4008286606373727,0.0039612395677522,0.1812017476814501,0.0116444364011961
12,6.5,0.0,0.3957471151147045,0.0035808662086928,0.2074709415250968,0.012767198822562
12,7.0,0.0,0.3936107517685654,0.0029286703063024,0.2327350851502079,0.0139944408615571
12,7.5,0.0,0.3911316368293051,0.0031656111774227,0.257329649020394,0.0149111379723339
12,8.0,0.0,0.3909232408381772,0.0036869608580058,0.2790801626487794,0.0154130315213372
8,0.5,0.5,0.5454335233426718,0.0117710325721089,0.0456583767302861,0.0004312582708757
8,1.0,0.5,0.527400522021088,0.0115532534516683,0.0462194671178525,0.0004884789450606
8,1.5,0.5,0.541021997456243,0.0125205791395623,0.0536554102537982,0.0012164905098158
8,2.0,0.5,0.5052873824037554,0.0131277354824172,0.0665412369886321,0.0019777894951973
8,2.5,0.5,0.500669393022145,0.0121503188213224,0.0810940608783169,0.0028745000908339
8,3.0,0.5,0.4642215417789824,0.0112921527683311,0.1001768094372235,0.0036744376127767
8,3.5,0.5,0.4737721876075638,0.012634461080042,0.1253718230084812,0.0048757795060414
8,4.0,0.5,0.4565327004945396,0.009772641404078,0.1478767785165847,0.0055330149480415
8,4.5,0.5,0.4477357304725897,0.0123381295476157,0.1713932453094209,0.0064649375963895
8,5.0,0.5,0.45559510191196,0.013797796759016,0.2002050335453022,0.0070131610005409
8,5.5,0.5,0.435096725251611,0.0131110872666531,0.2273882339205893,0.0080866240505323
8,6.0,0.5,0.4113537884965806,0.0129165616612408,0.2478847807815087,0.0098183299208848
